"","country","year","threshold","personRate","householdRate","personRateNoBen","householdRateNoBen"
"30","HU",2005,30,1.10763047849802,1.24278594811281,2.25045125596027,2.46868033630872
"31","HU",2005,31,1.30206539798257,1.32736813326371,2.45900123312064,2.59607603341394
"32","HU",2005,32,1.46516732305741,1.55743167687416,2.72494838877833,2.76429507341112
"33","HU",2005,33,1.62528805060589,1.72808867397274,2.89442642611364,3.07851789124671
"34","HU",2005,34,1.92831156896897,2.02459898715321,3.14287577751457,3.3013173177795
"35","HU",2005,35,2.14456398708521,2.35397196697613,3.45194686800255,3.6509153906988
"36","HU",2005,36,2.33571350521418,2.5532873985729,3.76464406813484,3.89301945713661
"37","HU",2005,37,2.51602119886972,2.69879363414573,4.02174497643881,4.17159337164243
"38","HU",2005,38,2.72028798611468,2.96264029758998,4.26428060539969,4.45193356119111
"39","HU",2005,39,2.94000832788403,3.15421894695677,4.55453973108868,4.66301586736916
"40","HU",2005,40,3.2380794079074,3.45306770878553,4.8690986586558,4.95621752448343
"41","HU",2005,41,3.50806639041714,3.75860841408652,5.0903643558776,5.28165992040816
"42","HU",2005,42,3.72535310155273,4.05743229880199,5.28761011874414,5.56160207614437
"43","HU",2005,43,4.04804035543662,4.28067951337381,5.58005951200352,5.74967305253872
"44","HU",2005,44,4.47578744378009,4.63167070463677,6.04734092999248,6.05095977146889
"45","HU",2005,45,4.84961744543253,5.14336804768644,6.42440766038782,6.59171358282922
"46","HU",2005,46,5.29386454947291,5.58068282202988,6.85646227495305,7.03880506269157
"47","HU",2005,47,5.70335940806315,6.09203188549363,7.25443389249242,7.55440811252615
"48","HU",2005,48,6.06056771248698,6.54979564695296,7.76795429252289,7.97075148037482
"49","HU",2005,49,6.54723299847387,6.93549041124107,8.24023682146423,8.45543227840276
"50","HU",2005,50,7.07927332762728,7.47696565888651,8.66160779754724,9.04270629159609
"51","HU",2005,51,7.58748841287615,8.04859196782693,9.11139141127944,9.5159187404021
"52","HU",2005,52,7.94069339490743,8.56670760610275,9.58890624608338,9.9805734622399
"53","HU",2005,53,8.34513846993262,8.97063729442486,10.0399796840515,10.4645328239827
"54","HU",2005,54,9.04245882357808,9.36267572259929,10.6522933196596,10.8883890800419
"55","HU",2005,55,9.63549810456678,10.0952818315725,11.2661523107201,11.5262880187593
"56","HU",2005,56,10.3693107495655,10.7045969671316,11.8433364881298,12.1435140763414
"57","HU",2005,57,10.9520192685139,11.5080282176121,12.3945903311368,12.828654653177
"58","HU",2005,58,11.5464822234234,11.9555923626267,13.1361175852446,13.2054682880242
"59","HU",2005,59,12.1109506807717,12.6839196081158,13.7120362747248,14.0145963974457
"60","HU",2005,60,12.6949125194964,13.3620945932331,14.2996485594002,14.6990652922227
"61","HU",2005,61,13.4134541322683,14.0184772271173,14.9633848102997,15.303678653372
"62","HU",2005,62,14.0790521106027,14.6463506891831,15.5038820059054,15.9266015698951
"63","HU",2005,63,14.8785119419472,15.3375115274324,16.2925243490829,16.5572612686482
"64","HU",2005,64,15.5415424399629,16.0151640931708,16.9469154583488,17.2067031879274
"65","HU",2005,65,16.2078340030279,16.5843524450098,17.5921926208912,17.7668362705326
"66","HU",2005,66,16.889700802149,17.4066156702429,18.3054045825752,18.5488483264793
"67","HU",2005,67,17.6110532583029,18.1618101980741,19.0522736559241,19.3873811837973
"68","HU",2005,68,18.4535640155587,18.7771704721601,19.916492398433,20.0160755906013
"69","HU",2005,69,19.2692804995368,19.6135638977362,20.7503029261731,20.8621213361299
"70","HU",2005,70,19.8623684531381,20.5757360080542,21.4036719105728,21.8737740247612
"71","HU",2005,71,20.7459102228792,21.3915311838347,22.3291451361336,22.6196147579992
"72","HU",2005,72,21.4191011287909,21.9830591833988,22.9188503431541,23.2595287428923
"73","HU",2005,73,22.2837944292735,22.9600331761183,23.802379944742,24.2504587961617
"74","HU",2005,74,23.1025529515437,23.8636196846627,24.587457019041,25.1047139890725
"75","HU",2005,75,24.0405472067153,24.8317871792811,25.5167875491563,26.0597463678793
"76","HU",2005,76,24.8637592730453,25.6725838539077,26.3804222203132,26.9018615295096
"77","HU",2005,77,25.473882641083,26.7645398642058,27.0174250387008,27.939933712444
"78","HU",2005,78,26.4882198892357,27.4723186141259,28.0899503953068,28.7035118274504
"79","HU",2005,79,27.5513027589827,28.213631712747,29.1065630881021,29.4748764789133
"80","HU",2005,80,28.503691939353,29.1228155717793,30.0082232379115,30.3884635869961
"301","HU",2006,30,2.61842571314977,2.91498574999088,4.15537250461359,4.26523939989077
"311","HU",2006,31,2.8571713790138,3.03122719099631,4.40289304731507,4.55097445706533
"321","HU",2006,32,3.10273236354512,3.24266116000507,4.61051994349571,4.79125226072412
"331","HU",2006,33,3.27126669044428,3.48818806915067,4.7487612264813,4.93520897869992
"341","HU",2006,34,3.52545466063041,3.74972475003104,5.02606951822229,5.12887472563582
"351","HU",2006,35,3.83772689280379,3.93625171350487,5.24747494292017,5.37253820233359
"361","HU",2006,36,3.97600514858504,4.22860064359282,5.50467003382025,5.56769994433324
"371","HU",2006,37,4.31574816793635,4.37969614503069,5.86190118552037,5.81288566162219
"381","HU",2006,38,4.68908713428051,4.75374740202085,6.17393925665455,6.18893157869735
"391","HU",2006,39,5.00546334677253,5.02276405821993,6.42793003859713,6.45225295544323
"401","HU",2006,40,5.3459334977719,5.42392694504948,6.74995076456044,6.84396745239652
"411","HU",2006,41,5.62244071227351,5.70766734213906,7.15397715130525,7.1034307366096
"421","HU",2006,42,5.86706505264803,6.08974973052405,7.46374755763874,7.45994998127382
"431","HU",2006,43,6.27084495408841,6.32501463844293,7.71687564101584,7.81255864235036
"441","HU",2006,44,6.63291954202044,6.65455348090494,8.11973122256465,8.11065534294637
"451","HU",2006,45,7.00477959653806,7.01209630113908,8.5053081842734,8.44297621131639
"461","HU",2006,46,7.43706552343496,7.3879584995222,8.84975907293919,8.83681659599184
"471","HU",2006,47,7.82479923155741,7.7957090137377,9.13757996291382,9.1536788487032
"481","HU",2006,48,8.15080069518715,8.21395773892682,9.4691396701583,9.56352900511342
"491","HU",2006,49,8.66096365401647,8.59750987684811,9.89739556232788,9.8935140215418
"501","HU",2006,50,9.06479285251774,8.99457846139795,10.4194514370956,10.2541538140132
"511","HU",2006,51,9.47907302792654,9.50983065598334,10.906826829531,10.7277018655058
"521","HU",2006,52,9.89131969957385,9.95952152303846,11.4598782313299,11.2198317504218
"531","HU",2006,53,10.2169021381861,10.3160932587575,11.8393916545499,11.6725670986593
"541","HU",2006,54,10.7833007192195,10.760062600832,12.4581313899775,12.2433810748226
"551","HU",2006,55,11.3979611228589,11.1501498750844,13.0592720746693,12.7097116062709
"561","HU",2006,56,11.9929519992053,11.8109335192916,13.7041146038353,13.3635139401807
"571","HU",2006,57,12.8521381490975,12.3150051191901,14.2348960583796,13.864252358095
"581","HU",2006,58,13.5331400724223,13.045969303756,15.0266561532468,14.5765297271279
"591","HU",2006,59,14.1434993074995,13.8164592526376,15.5930917070759,15.1261635626519
"601","HU",2006,60,14.8917424218709,14.5387624131503,16.3132231724778,15.8244520655624
"611","HU",2006,61,15.6904410780577,15.1019126953028,17.0401699565471,16.4447651064663
"621","HU",2006,62,16.3920122000366,15.9317175361854,17.8496276962719,17.2097434945867
"631","HU",2006,63,17.1487960302063,16.5866484277748,18.6768693507109,17.8597402270186
"641","HU",2006,64,17.9653648709637,17.6079668823437,19.4250261952257,18.8668598512456
"651","HU",2006,65,18.594617204625,18.20043341864,20.1146797527358,19.4588539680482
"661","HU",2006,66,19.2690749431174,18.8357589012362,20.7238188855561,20.1098217849951
"671","HU",2006,67,20.241360874944,19.7877629178518,21.5703603393314,21.0474170070493
